ERA,COVER,Title & Description,,,,,,,,,,,,,,,,CREATOR(S),Length & track no.,LINK(S) [W.I.P],Extras
,,"Will explain what makes a comp different from release, and what has been added or changed.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Type of comp: Remaster, Vanilla, overhaul, renovation, extension, remix, shitpost, and playlist.",,,,,,,,,,,,,,,,,,,,,
"Era refers to an album, or period of time that the comp is based on or taking place during. ","A comps cover will be displayed in this column. If there is no custom cover, a default cover will be used.","Dry descriptions that act as a guide. Quality can, and will vary without disclosure here. Playlists are denoted as such, typically put together by one individual using others edits with personal touches applied at the discretion of the playlist maker, credits are included when applicable here. Due to the nature of the yedits archive, listings may be updated as new information is uncovered or presented. If you see something you believe is incorrect, let me know and I will try to verify this information before updating it. This archive ideally will be shared physically, and digitally without fear of a DMCA takedown notice being filed someday. If you find this document in an incomplete or incorrect state, you may have an outdated copy, or the work on the archive and/or document here has been abandoned. I hope this spreadsheet is helpful in navigating the archive. Special credit to Sophie for allowing me to borrow color coding from her curated tracker, and some terminology. Thanks to Aiwei for touching up the sheet further. -  100greenmen",,,,,,,,,,,,,,,,Multiple individuals may be listed when applicable,"Length of the full comp, not counting bonus tracks","Links to comps will be dropped here, samply links provided by Koji.",Any supplementary material a comp might come with
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,The Go-Getters,,,,,,,,,,,,,,,,,,,
,,"Kanye West would begin work in the music industry producing beats, and recording with a Chicago based rap group featuring GLC, Timmy G, and Arrowstar while trying to find his sound. Although Kanye's signature sample chopping is present for many of these tracks that were released on mixtapes or leaked, he would later state he was disatisfied with his persona for his verses, and would course correct to a more authentic one going forward.  The era currently only has one comp but future comps would need to be based on the tracks produced with the Go-Getters to fit into this slot. ",,,,,,,,,,,,,,,,,,,
,,Late Registration,,,,,,,,,,,,,,,,,,,
,,"Kanye West's second studio album, Late Registration released in 2005. After the success of The College Dropout, work on this record would begin with old and new songs as a victory lap to celebrate his breakout success. Numerous delays changed the direction from sounding identical to The College Dropout to a focus on imitating a movie soundtrack. The themes of concious hip-hop continue here as his poetic writing style matures. Late Orchestration was a live performance that included a full orchestra accompanying Kanye's live performances containing songs from Late Registration, and The College Dropout. Comps from this era contain released and scrapped songs worked on during this period, as well as some tracks from the previous. ",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Remaster",,,,,,,,,,,,,,,,,,,
Late Registration,,Late Orchestration,,,,,,,,,,,,,,,,Orpheus,47 mins. 13 tracks.,SAMPLY,One bonus track
,,"This comp remasters the audio for the eponymous Late Orchestration Live album. Removes or reduces crowd noise, sounds more like a studio recorded album. -  100greenmen",,,,,,,,,,,,,,,,,,,
,,Renovation,,,,,,,,,,,,,,,,,,,
Late Registration,,Late Orchestration,,,,,,,,,,,,,,,,r.beatz,17 mins. 5 tracks.,SAMPLY,Tracklist unknown
,,"New instrumental additions to this ep length comp give the tracks a fresh take on the live recordings, with some updated mixing as well.  -  100greenmen",,,,,,,,,,,,,,,,,,,
,,"Vanilla, Playlist",,,,,,,,,,,,,,,,,,,
Late Registration,,Basics [2005-05-25]															,,,,,,,,,,,,,,,,gv,"1 hour, 13 mins. 19 tracks.",SAMPLY,"One alt track, credits and explanation by gv"
,,"gv's personal take on big brother's earth 2054 timeline version of Late Registration. Utilizing edits from a few different comps of this era, and further editing them. Some songs are carried over from the college dropout era and suited to fit the sound of this particular comp, while others are songs from Common's Album Be. -  100greenmen",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Late Registration,,Late Registration Reimagined,,,,,,,,,,,,,,,,Mochi&broccoli,"1 hour,   8 mins. 15 tracks.",SAMPLY,N/A
,,"Mixing has been adjusted to emphasize the instrumentals, new orchestral production added on some tracks, skits merged with tracks. An edit of bittersweet poetry is included, in the spirit of it's original intended inclusion with the album. -  100greenmen															",,,,,,,,,,,,,,,,,,,
,,Overhaul,,,,,,,,,,,,,,,,,,,
Late Registration,,"The Good, The Bad, & The Ugly",,,,,,,,,,,,,,,,"darkTwist, hatw, & r.beatz",58 mins. 15 tracks.,SAMPLY,"Five bonus tracks, alt with fewer added verses/features is avaliable."
